Title,Artist
Your Good Thing (Is About To End),Lou Rawls
Gloria,The Shadows Of Knight
Guantanamera,The Sandpipers
"Land Of 1,000 Dances",Wilson Pickett
634-5789,Wilson Pickett
Funky Broadway,Wilson Pickett
Oh How Happy,Shades Of Blue
You Baby,Turtles
Five O'clock World,The Vogues
"Turn Around, Look At Me",The Vogues
Black Is Black,Los Bravos
Baby Scratch My Back,Slim Harpo
I Fought The Law,Bobby Fuller Four
Zorba The Greek,Herb Alpert and The Tijuana Brass
To Sir With Love,Lulu
The Letter,The Box Tops
Cry Like A Baby,The Box Tops
Soul Deep,The Box Tops
Sweet Cream Ladies,The Box Tops
Ode To Billie Joe,Bobby Gentry
Light My Fire,The Doors
"Hello, I Love You",The Doors
Touch Me,The Doors
Somethin' Stupid,Frank and Nancy Sinatra
Can't Take My Eyes Off You,Frankie Valli
Little Bit O' Soul,The Music Explosion
Respect,Aretha Franklin
Baby I Love You,Aretha Franklin
I Never Loved A Man (The Way I Love You),Aretha Franklin
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin
I Say A Little Prayer,Aretha Franklin
Think,Aretha Franklin
Come Back When You Grow Up,Bobby Vee and The Strangers
Kind Of A Drag,The Buckinghams
Don't You Care,The Buckinghams
"Mercy, Mercy, Mercy",The Buckinghams
Sweet Soul Music,Arthur Conley
Expressway To Your Heart,The Soul Survivors
Soul Man,Sam and Dave
I Thank You,Sam and Dave
"Apples, Peaches, Pumpkin Pie",Jay and The Techniques
Come On Down To My Boat,Every Mothers' Son
Incense And Peppermints,Strawberry Alarm Clock
It Must Be Him,Vicki Carr
Gimme Little Sign,Brenton Wood
For What It's Worth,Buffalo Springfield
Release Me,Engelbert Humperdinck
Your Precious Love,Marvin Gaye and Tammi Terrell
Ain't No Mountain High Enough,Marvin Gaye and Tammi Terrell
Ain't Nothing Like The Real Thing,Marvin Gaye and Tammi Terrell
You're All I Need To Get By,Marvin Gaye and Tammi Terrell
Somebody To Love,Jefferson Airplane
White Rabbit,Jefferson Airplane
Get On Up,The Esquires
Brown Eyed Girl,Van Morrison
A Whiter Shade Of Pale,Procol Harum
Then You Can Tell Me Goodbye,The Casinos
Silence Is Golden,The Tremeloes
Here Comes My Baby,The Tremeloes
My Cup Runneth Over,Ed Ames
"Up, Up And Away",The 5th Dimension
Stoned Soul Picnic,The 5th Dimension
Aquarius / Let The Sunshine In,The 5th Dimension
Wedding Bell Blues,The 5th Dimension
San Francisco (Be Sure to Wear Flowers in Your Hair),Scott Mckenzie
"The Rain, The Park And Other Things",The Cowsills
Indian Lake,The Cowsills
Hair,The Cowsills
Western Union,Five Americans
(We Ain't Got) Nothin' Yet,Blue Magoos
Friday On My Mind,The Easybeats
Soul Finger,The Bar-Kays
Gimme Some Lovin',The Spencer Davis Group
Let It Out (Let It All Hang Out),The Hombres
Let's Live For Today,The Grass Roots
Midnight Confessions,The Grass Roots
I'd Wait A Million Years,The Grass Roots
Close Your Eyes,Peaches and Herb
Tell It Like It Is,Aaron Neville
Cold Sweat,James Brown and The Famous Flames
I Got The Feelin',James Brown and The Famous Flames
Say It Loud I'm Black And I'm Proud,James Brown and The Famous Flames
98.6,Keith
Snoopy Vs. The Red Baron,The Royal Guardsmen
Society's Child,Janis Ian
Everlasting Love,Robert Knight
Little Ole Man (Uptight-Everything's Alright),Bill Cosby
I Had Too Much To Dream Last Night,The Electric Prunes
I Can See For Miles,The Who
Love Is Blue,Paul Mauriat
(Sittin' On) The Dock Of The Bay,Otis Redding
People Got To Be Free,The Rascals
A Beautiful Morning,The Rascals
Sunshine Of Your Love,Cream
White Room,Cream
This Guy's In Love With You,Herb Alpert
"The Good, The Bad And The Ugly",Hugo Montenegro
Tighten Up,Archie Bell and The Drells
Harper Valley P.T.A.,Jeannie C. Riley
Little Green Apples,O.C. Smith
Young Girl,Gary Puckett and The Union Gap
Lady Willpower,Gary Puckett and The Union Gap
Over You,Gary Puckett and The Union Gap
"Woman, Woman",Gary Puckett and The Union Gap
This Girl Is A Woman Now,Gary Puckett and The Union Gap
Grazing In The Grass,Hugh Masekela
Dance To The Music,Sly and The Family Stone
Everyday People,Sly and The Family Stone
Hot Fun In The Summertime,Sly and The Family Stone
The Horse,Cliff Nobles
La-La Means I Love You,The Delfonics
Judy In Disguise (With Glasses),John Fred and His Playboy Band
Spooky,Classics IV
Traces,Classics IV
Angel Of The Morning,Merrilee Rush
The Ballad Of Bonnie And Clyde,Georgie Fame
Those Were The Days,Mary Hopkin
Born To Be Wild,Steppenwolf
Magic Carpet Ride,Steppenwolf
Cowboys To Girls,The Intruders
Simon Says,1910 Fruitgum Company
"1, 2, 3, Red Light",1910 Fruitgum Company
Indian Giver,1910 Fruitgum Company
The Look Of Love,Sergio Mendes and Brasil '66
The Fool On The Hill,Sergio Mendes and Brasil '66
Hold Me Tight,Johnny Nash
"Yummy, Yummy, Yummy",Ohio Express
Fire,The Crazy World Of Arthur Brown
Love Is All Around,Troggs
Playboy,Gene and Debbe
Classical Gas,Mason Williams
Slip Away,Clarence Carter
Girl Watcher,The O'Kaysions
Green Tambourine,The Lemon Pipers
Reach Out Of The Darkness,Friend and Lover
MacArthur Park,Richard Harris
Light My Fire,Jose Feliciano
Pictures Of Matchstick Men,Status Quo
Summertime Blues,Blue Cheer
I've Gotta Get A Message To You,The Bee Gees
Bottle Of Wine,The Fireballs
Stay In My Corner,The Dells
"Oh, What A Night",The Dells
Soul Serenade,Willie Mitchell
Nobody But Me,The Human Beinz
I Wonder What She's Doing Tonight,Tommy Boyce and Bobby Hart
The Unicorn,The Irish Rovers
(You Keep Me) Hangin' On,Vanilla Fudge
"Baby, Now That I've Found You",The Foundations
Build Me Up Buttercup,The Foundations
Sweet Inspiration,The Sweet Inspirations
If You Can Want,Smokey Robinson and The Miracles
"Baby, Baby Don't Cry",Smokey Robinson and The Miracles
Cab Driver,The Mills Brothers
Time Has Come Today,The Chambers Brothers
Here Comes The Judge,Shorty Long
Piece Of My Heart,Big Brother and The Holding Company
Suzie Q.,Creedence Clearwater Revival
Proud Mary,Creedence Clearwater Revival
Bad Moon Rising,Creedence Clearwater Revival
Green River,Creedence Clearwater Revival
"Bend Me, Shape Me",The American Breed
"Hey, Western Union Man",Jerry Butler
Never Give You Up,Jerry Butler
Only The Strong Survive,Jerry Butler
"Sugar, Sugar",The Archies
One,Three Dog Night
Easy To Be Hard,Three Dog Night
Love Theme From Romeo And Juliet,Henry Mancini and His Orch.
Get Together,The Youngbloods
Grazin' In The Grass,The Friends Of Distinction
Going In Circles,The Friends Of Distinction
What Does It Take (To Win Your Love),Jr. Walker and The All Stars
Jean,Oliver
Good Morning Starshine,Oliver
Get Back,The Beatles with Billy Preston
In The Year 2525,Zager and Evans
Spinning Wheel,"Blood, Sweat and Tears"
You've Made Me So Very Happy,"Blood, Sweat and Tears"
Baby It's You,Smith
Time Of The Season,Zombies
Little Woman,Bobby Sherman
Love (Can Make You Happy),Mercy
These Eyes,The Guess Who
Laughing,The Guess Who
Do Your Thing,Watts 103rd Street Rhythm Band
More Today Than Yesterday,Spiral Starecase
It's Getting Better,Cass Elliot
Galveston,Glen Campbell
Can I Change My Mind,Tyrone Davis
Color Him Father,The Winstons
Black Pearl,"Sonny Charles and The Checkmates, Ltd."
Twenty-five Miles,Edwin Starr
Things I'd Like To Say,New Colony Six
When I Die,Motherlode
Everybody's Talkin',Harry Nilsson
Worst That Could Happen,Brooklyn Bridge
Chokin' Kind,Joe Simon
Smile A Little Smile For Me,The Flying Machine
Polk Salad Annie,Tony Joe White
"Ruby, Don't Take Your Love To Town",Kenny Rogers and The First Edition
Games People Play,Joe South
Tracy,The Cuff Links
Ramblin' Gamblin' Man,Bob Seger System
I'm Gonna Make You Love Me,Diana Ross and The Supremes and The Temptations
Gimme Gimme Good Lovin',Crazy Elephant
Baby I'm For Real,The Originals
Oh Happy Day,Edwin Hawkins Singers
My Whole World Ended (The Moment You Left Me),David Ruffin
